"ID_PROD",0	"CATEGORIA",0	"SUBCATEGORIA",0	"NOMBRE",0	"DESCRIPCION",0	"MARCA",0	"UNIDCOMP",0	"PRECOSTO",1	"PREVENTA",1	"STOCK",1	"TPREPAR",1	"FECCRE",2	"FECMOD",2	"ACTIVO",0	"PROVEE",0
7613031255726	COUNTER	SNACK		Galleta Morochas		Bolsa de 8 unid.	0.675	1	2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7702024059158	COUNTER	SNACK		Galleta Integral Fitness 		Paq. de 9	0.5	0.7	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7613032271831	COUNTER	SNACK		Galleta Dore		Paq. de 6	0.42	0.6	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750885012928	COUNTER	SNACK		Galleta Frac			0	0.6	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7613033446832	COUNTER	SNACK		Chocolate Triangulo Donofrio		Caja de 22	1.14	1.5	15	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7613032019457	COUNTER	SNACK		Chocolate Princesa en barra		Caja de 20	1.015	1.5	8	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750885434614	COUNTER	SNACK		Wafer Nik Costa	COSTA	Paq. de 6	0.38	0.6	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750885006538	COUNTER	SNACK		Mentitas			0	0.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7758102001199	COUNTER	SNACK		Chicle Boogie			0	0.2	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7790580199913	COUNTER	SNACK		Gomitas Ositos Mogul			0	0.6	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750885438759	COUNTER	SNACK		Chocman			0.43	0.7	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7613035049628	COUNTER	SNACK		Chocolate Sublime Clásico 42g		Caja de 20	1.25	1.8	9	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7613031523092	COUNTER	SNACK		Chocolate Sublime Blanco			0	1.2	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7613033447150	COUNTER	SNACK		Lenteja Nestle 		Caja de 24 unid	0.424583333333333	0.6	5	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7790580602000	COUNTER	SNACK		Gomitas Frutado Mogul (Rollo)			0.658333333333333	0.8	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
740617169850	COUNTER	LIBRERIA		Memoria USB Kingston 32GB - 101		docena o fracción	37	48	0	0	2017:05:18:09:35:46	2017:05:18:09:35:46	V	
FASTER01	COUNTER	LIBRERIA		Faster	ARTESCO	Caja de 50	0.1	0.3	7	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
LIB011000	COUNTER	LIBRERIA		Tajador ARTESCO simple	ARTESCO		0.208333333333333	0.8	13	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
LIB007000	COUNTER	LIBRERIA		Goma DAVID 23cc		Docena	0.333333333333333	0.8	6	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
LIB00100	COUNTER	LIBRERIA		Papel Bond A4 (paq. 500 unid).		unidad	9.5	12	3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
6924561101201	COUNTER	LIBRERIA		Marcador para CD Oval (doble punta)	Oval	caja de 12	0.666666666666667	1.5	-2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750082003439	COUNTER	LIBRERIA		Lapiz ARTESCO 2B		Caja de 12	0.416666666666667	0.8	-3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
775073700844	COUNTER	LIBRERIA		Folder Colores (Surtidos)		Paq de 25, de un solo color.	0.28	1	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750670005814	COUNTER	GASEOSA		Volt - 300mL		paq.de 12	1.3725	2	50	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
4902505239809	COUNTER	LIBRERIA		Lapicero Pilot 0.7	PILOT		0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7757174006798	COUNTER	SNACK		Bon o Bon Tableta			0	1	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7590011205158	COUNTER	SNACK		Galleta Club Social	Nabisco	Pag de 6	0.416666666666667	0.7	9	0	2017:04:05:16:11:22	2017:04:05:16:11:22	V	
7757174002240	COUNTER	SNACK		Chocolate Golpe		Caja de 24	0.4375	0.6	2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7757174004176	COUNTER	SNACK		Galletas Animalito FAUNA		Paq. de 20	0.465	0.7	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
78021426	COUNTER	SNACK		Bon o Bon Bolita			0	0.7	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7757174002554	COUNTER	SNACK		Chocolate Sapito			0	0.6	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
000123456789	COUNTER	LIBRERIA		Chinches Colores x 2 Und			0	0.1	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
6944599284509	COUNTER	LIBRERIA		Posit Colores			0	3.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
#2831	COUNTER	LIBRERIA		Plumón grueso JUMBO 47	FABER CASTELL	Docena	2.08333333333333	3	12		2018:03:14:22:07:30	2018:03:14:22:07:30	V	
7750277072776	COUNTER	LIBRERIA		Sobre Manila Medio Oficio			0	0.4	26	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
#2781	COUNTER	LIBRERIA		Papel Bond A3 - 90gr		Ciento	0	0.3	76	0	2017:04:19:17:01:58	2017:04:19:17:01:58	V	
7750082773042	COUNTER	LIBRERIA		Folder de Plástico Artesco			0	5.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750049000235	COUNTER	LIBRERIA		Libreta Notas Loro			0	2.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750212033916	COUNTER	LIBRERIA		Block de Notas Navarrete			0	2.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7754807020022	COUNTER	LIBRERIA		Vinifan A4		Por docena o media docena	4	4.5	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750082416109	COUNTER	LIBRERIA		Grapas Caja Pequeña x 1000	Artesco	Docena o fracción	0.8	2	8	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
#2802	COUNTER	LIBRERIA		Grapas Caja Grande x 5000	Artesco	Docena o fracción	2.33333333333333	4	6		2018:03:14:21:54:52	2018:03:14:21:54:52	V	
7750082001121	COUNTER	LIBRERIA		Colores Artesco (Caja 12 Und)			0	4.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750080006133	COUNTER	LIBRERIA		Silicona Artesco (30 ml)			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
PAPEL012	COUNTER	LIBRERIA		Papel Cuadriculado			0	0.2	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
00042567984	COUNTER	LIBRERIA		Cartulina Blanca o Escolar Colores 			0.26	0.7	-18	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
0000001234	COUNTER	LIBRERIA		Papel Crepe		Paquete de 10	0.6	1	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
0000012345	COUNTER	LIBRERIA		Papel Lustre			0	0.5	-9	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750737360566	COUNTER	LIBRERIA		Sobre Manila Pago		Paq. de 50	0.08	0.3	46	0	1899:12:30:00:00:00	2017:04:05:00:00:00	V	
4019968188046	COUNTER	LIBRERIA		Cutter			0	1	-1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750082002654	COUNTER	LIBRERIA		Crayolas - Artesco			0	3.5	1	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750182000896	COUNTER	GASEOSA		Gaseosa Sprite		Paq. de 12	1.25	2	8	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750082001169	COUNTER	LIBRERIA		Tampón grande - Artesco			0	4.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7752025006286	COUNTER	SNACK		Free Papas pequeña		Paq. de 12	0.416666666666667	0.6	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
00001234567	COUNTER	LIBRERIA		Tarjetas de Regalo			0	0.2	47	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
0012345678	COUNTER	LIBRERIA		Papel Celofán			0	1	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
0000123456	COUNTER	LIBRERIA		Papel de Seda			0	1	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7754111653107	COUNTER	LIBRERIA		Plumon grueso Pizarra 152 - FABER CASTELL	FABER CASTELL	Caja de 12	1.5	2.5	23	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
6933256618566	COUNTER	LIBRERIA		Porta Minas - Faber Castell			0	4.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7891360483977	COUNTER	LIBRERIA		Minas - Faber Castell			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750049005018	COUNTER	LIBRERIA		Cuaderno A5 - 100 hojas  Surco	SURCO	Docena	1.33333333333333	2	9	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
000123547687	COUNTER	LIBRERIA		Cartulina Negra y Kanson		Paq. de 50 o 100	0.48	1	-1	0	1899:12:30:00:00:00	2017:04:07:00:00:00	V	
7750277000403	COUNTER	LIBRERIA		Sobre Carta Gallo			0	0.2	32	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750807002785	COUNTER	LIBRERIA		Compas Escolar - Kp			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
9330921084775	COUNTER	LIBRERIA		Lapiz Bicolor - Arti			0.583333333333333	1	9	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
000123454678	COUNTER	LIBRERIA		Silicona - Barra 			0	0.5	20	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
775008239780	COUNTER	LIBRERIA		Dispensador Escarcha - Artesco			0	10	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750080005563	COUNTER	LIBRERIA		Alfileres 28mm - Artesco			0	2	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750082002630	COUNTER	LIBRERIA		Plastilina Delgada 90gr - Artesco			0	3	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750082207424	COUNTER	LIBRERIA		Regla Artesco 30cm 	Artesco	docena	0.67	1.5	12	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750082002623	COUNTER	LIBRERIA		Plastilina Jumbo 180gr - Artesco			0	4.8	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750082002647	COUNTER	LIBRERIA		Crayolas Jumbo 120gr - Artesco			0	5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
6939540507387	COUNTER	LIBRERIA		ClipsColores 100 Unds- Paper Colour Clip			0	3.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750082010154	COUNTER	LIBRERIA		Perforador M01 - Artesco			0	8	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7750805000318	COUNTER	LIBRERIA		Fichas Bibliográficas 			0	0.1	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
000123457689	COUNTER	LIBRERIA		Sticker precio - Económika			0	2	-2	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
04133301463	COUNTER	LIBRERIA		pila duracell AA2			0	6	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
0777712345878	COUNTER	LIBRERIA		Libreta Notas - Espiral Grande			0	3.5	-3	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
0001243567891	COUNTER	LIBRERIA		Papel de Regalo		Paq de 50 o 100	0.2	0.5	-4	0	1899:12:30:00:00:00	2017:04:07:00:00:00	V	
012345678998	COUNTER	LIBRERIA		Cinta de Embalaje pequeño		docena	0.5	1	8	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
#2790	COUNTER	LIBRERIA		Sobre Carta blanco			0	0.2	-2		2018:02:28:13:12:40	2018:02:28:13:12:40	V	
7750049612933	COUNTER	LIBRERIA		Cuaderno A4 - Justus			0	4	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
01075359	COUNTER	LIBRERIA		Talonario Recibo para pago 		Paq. de 10	0.6	1.2	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
01075397	COUNTER	LIBRERIA		Talonario Guia Remision			0	3.9	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
4719867213084	COUNTER	LIBRERIA		Pegamento Super Glue 		Paq de 12	0.29	1	7	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
4026700424256	COUNTER	LIBRERIA		Uhu - 20ml			0	4.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7754005381918	COUNTER	LIBRERIA		Masking Tape - Pegafan 1/2 x 15 yds		Docena o media	0.75	1.5	4	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
7754005016810	COUNTER	LIBRERIA		Masking Tape - Pegafan 3/4 x 15 yds		Docena o media	1.5	2.5	6	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
000123547688	COUNTER	LIBRERIA		Cartulina - Plastificada			0	1.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
75551466818	COUNTER	LIBRERIA		Colores Layconsa - Caja Chica  x 12	LAYCONSA		2.83333333333333	4	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
6939540505178	COUNTER	LIBRERIA		Mini Engrapador - Strapler			0	3.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
0000123456788	COUNTER	LIBRERIA		Lentejuelas - Sobre		Cartón	0.12	0.4	21	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
000012345678	COUNTER	LIBRERIA		Papel - Calca A4			0	0.5	0	0	1899:12:30:00:00:00	1899:12:30:00:00:00	V	
